reporting_level,province/territory,region,indicator,metric,data_year,unit_of_measurement,indicator_result,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27
Provincial,Alberta,,Prostate Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Radiation Therapy,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Radiation Therapy,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Radiation Therapy,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Radiation Therapy,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Bladder Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Bladder Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Bladder Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Breast Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Breast Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Breast Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CABG,% Meeting Benchmark,2008.0,Proportion,91.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CABG,50th Percentile,2008.0,Days,43.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CABG,90th Percentile,2008.0,Days,109.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CABG,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Cataract surgery,% Meeting Benchmark,2008.0,Proportion,78.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Cataract surgery,50th Percentile,2008.0,Days,55.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Cataract surgery,90th Percentile,2008.0,Days,171.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Cataract surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Colorectal Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Colorectal Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Colorectal Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CT Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CT Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,CT Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Replacement,% Meeting Benchmark,2008.0,Proportion,78.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Replacement,50th Percentile,2008.0,Days,71.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Replacement,90th Percentile,2008.0,Days,279.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Hip Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Knee Replacement,% Meeting Benchmark,2008.0,Proportion,71.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Knee Replacement,50th Percentile,2008.0,Days,102.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Knee Replacement,90th Percentile,2008.0,Days,332.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Knee Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Lung Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Lung Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Lung Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,MRI Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,MRI Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,MRI Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Prostate Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Prostate Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Prostate Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Radiation Therapy,% Meeting Benchmark,2008.0,Proportion,95.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Radiation Therapy,50th Percentile,2008.0,Days,7.0,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Radiation Therapy,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,British Columbia,,Radiation Therapy,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Bladder Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Bladder Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Bladder Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Breast Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Breast Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Breast Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CABG,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CABG,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CABG,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CABG,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Cataract surgery,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Cataract surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Cataract surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Cataract surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Colorectal Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Colorectal Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Colorectal Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CT Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CT Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,CT Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Replacement,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Replacement,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Replacement,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Hip Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Knee Replacement,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Knee Replacement,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Knee Replacement,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Knee Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Lung Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Lung Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Lung Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,MRI Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,MRI Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,MRI Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Prostate Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Prostate Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Prostate Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Radiation Therapy,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Radiation Therapy,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Radiation Therapy,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
National,Canada,,Radiation Therapy,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Bladder Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Bladder Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Bladder Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Breast Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Breast Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Breast Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CABG,% Meeting Benchmark,2008.0,Proportion,96.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CABG,50th Percentile,2008.0,Days,17.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CABG,90th Percentile,2008.0,Days,119.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CABG,Volume,2008.0,Number of cases,428.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Cataract surgery,% Meeting Benchmark,2008.0,Proportion,77.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Cataract surgery,50th Percentile,2008.0,Days,75.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Cataract surgery,90th Percentile,2008.0,Days,151.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Cataract surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Colorectal Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Colorectal Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Colorectal Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CT Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CT Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,CT Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Replacement,% Meeting Benchmark,2008.0,Proportion,64.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Replacement,50th Percentile,2008.0,Days,139.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Replacement,90th Percentile,2008.0,Days,362.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Hip Replacement,Volume,2008.0,Number of cases,646.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Knee Replacement,% Meeting Benchmark,2008.0,Proportion,52.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Knee Replacement,50th Percentile,2008.0,Days,174.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Knee Replacement,90th Percentile,2008.0,Days,479.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Knee Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Lung Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Lung Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Lung Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,MRI Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,MRI Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,MRI Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Prostate Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Prostate Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Prostate Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,% Meeting Benchmark,2008.0,Proportion,99.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,50th Percentile,2008.0,Days,5.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,90th Percentile,2008.0,Days,23.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Bladder Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Bladder Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Bladder Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Breast Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Breast Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Breast Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,% Meeting Benchmark,2008.0,Proportion,95.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,50th Percentile,2008.0,Days,3.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,90th Percentile,2008.0,Days,131.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,Volume,2008.0,Number of cases,214.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,% Meeting Benchmark,2008.0,Proportion,74.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,50th Percentile,2008.0,Days,57.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,90th Percentile,2008.0,Days,194.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Colorectal Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Colorectal Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Colorectal Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CT Scan,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CT Scan,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CT Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,% Meeting Benchmark,2008.0,Proportion,66.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,50th Percentile,2008.0,Days,140.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,90th Percentile,2008.0,Days,309.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,Volume,2008.0,Number of cases,300.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Knee Replacement,% Meeting Benchmark,2008.0,Proportion,55.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Knee Replacement,50th Percentile,2008.0,Days,167.0,,,,,,,,,,,,,,,,,,,,
